word|example|translation|example_translation|familiarity
anstoßen|Stoße die Gewohnheit heute an.|to initiate|Kick off the habit today.|0
mitziehen|Zieh die Stimmung mit Musik mit.|to pull along|Pull your mood along with music.|0
beibehalten|Behalte das gute Tempo bei.|to keep|Keep the good pace.|0
durchprobieren|Probier drei Stimmen nacheinander durch.|to try through|Try three voices one after another.|0
austauschen|Tausche Beispiele bei Bedarf aus.|to swap|Swap examples if needed.|0
abgleichen (Original)|Gleiche Text mit Audio-Original ab.|to match|Match text with the audio original.|0
herausarbeiten|Arbeite das Verb klar heraus.|to work out|Work out the verb clearly.|0
abschneiden (gut)|Schneide heute besser ab als gestern.|to perform|Perform better today than yesterday.|0
zulegen (Wörter)|Leg drei neue Wörter zu.|to add|Add three new words.|0
beenden|Beende mit einem leichten Satz.|to finish|Finish with an easy sentence.|0
weiterlernen|Lerne nach der kurzen Pause weiter.|to continue learning|Continue learning after the short break.|0
ablenken|Lass dich heute nicht von Nachrichten ablenken.|to distract|Don’t get distracted by news today.|0
überstehen|Du überstehst auch schwierige Übungen.|to get through|You’ll get through tough exercises too.|0
aufkommen (Fragen)|Fragen kommen auf, das ist normal.|to arise|Questions arise; that’s normal.|0
zusammenstellen (Set)|Stell dir ein kleines Übungsset zusammen.|to assemble|Assemble a small practice set.|0
steigern (Tempo)|Steigere das Tempo ganz leicht.|to increase|Increase the pace slightly.|0
verlangsamen|Verlangsame, wenn die Aussprache leidet.|to slow down|Slow down if pronunciation suffers.|0
auslassen|Lass heute schwierige Zungenbrecher aus.|to skip|Skip tough tongue twisters today.|0
mitsprechen|Sprich jede Silbe bewusst mit.|to speak along|Speak along each syllable consciously.|0
nachschlagen|Schlag das Wort schnell im Wörterbuch nach.|to look up|Look the word up quickly in the dictionary.|0
abdecken (Thema)|Decke heute nur ein Thema ab.|to cover|Cover only one topic today.|0
aufzeigen|Zeig dir typische Fehlerstellen auf.|to point out|Point out typical error spots to yourself.|0
einordnen|Ordne neue Wörter nach Häufigkeit ein.|to classify|Classify new words by frequency.|0
ausrichten (Ziel)|Richte deine Übung am Ziel aus.|to align|Align your practice with the goal.|0
abbauen (Stress)|Bau Stress mit Atemzügen ab.|to reduce|Reduce stress with breaths.|0
vorarbeiten|Arbeite zehn Minuten am Morgen vor.|to work ahead|Work ahead ten minutes in the morning.|0
nacharbeiten|Arbeite abends ruhig nach.|to catch up|Catch up calmly in the evening.|0
übriglassen|Lass dir Restenergie für morgen übrig.|to leave|Leave some energy for tomorrow.|0
mitziehen (Gruppe)|Zieh mit der Lerngruppe freundlich mit.|to go along|Go along kindly with the study group.|0
abklären|Klär Unklarheiten sofort ab.|to clarify|Clarify uncertainties immediately.|0
absichern|Sichere wichtige Beispiele doppelt ab.|to secure|Secure important examples twice.|0
durchleuchten|Leuchte die Grammatikregel kurz durch.|to examine|Examine the grammar rule briefly.|0
vergleichen (Aussprache)|Vergleiche deine Aufnahme mit dem Modell.|to compare|Compare your recording with the model.|0
einprägen (Klang)|Präge dir den Klang genau ein.|to imprint|Imprint the sound precisely.|0
ausmerzen|Merze einen kleinen Fehler gezielt aus.|to eliminate|Eliminate one small mistake deliberately.|0
querlesen|Lies den Abschnitt einmal quer.|to skim|Skim the section once.|0
anmerken|Merk dir eine Frage für später an.|to note|Note a question for later.|0
abfragen (selbst)|Frag dich selbst drei Sätze ab.|to quiz|Quiz yourself on three sentences.|0
ausloten|Lote deine Grenzen sanft aus.|to sound out|Gently sound out your limits.|0
einhalten (Tempo)|Halte ein ruhiges Tempo ein.|to keep|Keep a calm pace.|0
festigen|Festige das neue Muster mit Wiederholung.|to consolidate|Consolidate the new pattern with repetition.|0
unterdrücken (Perfektion)|Unterdrücke Perfektion für heute.|to suppress|Suppress perfection for today.|0
zulächeln|Lächle dir beim Üben kurz zu.|to smile at|Give yourself a quick smile while practicing.|0
verankern (Routine)|Verankere die Routine im Kalender.|to anchor|Anchor the routine in the calendar.|0
abrechnen (Zeit)|Rechne die Lernzeit offen ab.|to account|Account openly for study time.|0
vorbeugen (Frust)|Beuge Frust mit kleinen Schritten vor.|to prevent|Prevent frustration with small steps.|0
herunternehmen (Level)|Nimm das Level bei Müdigkeit runter.|to lower|Lower the level when tired.|0
hochfahren (Fokus)|Fahr den Fokus langsam hoch.|to ramp up|Slowly ramp up focus.|0
beisteuern|Steuere deine Stimme deutlich bei.|to contribute|Contribute your voice clearly.|0
aushelfen|Hilf dir mit langsamem Tempo aus.|to help out|Help yourself with a slower pace.|0
zurücklegen (Zeit)|Leg täglich zehn Minuten zurück.|to set aside|Set aside ten minutes daily.|0
herauslösen|Löse das Verb aus dem Satz heraus.|to extract|Extract the verb from the sentence.|0
mitdenken|Denk beim Hören aktiv mit.|to think along|Think along actively while listening.|0
herumprobieren|Probier mit Betonung etwas herum.|to experiment|Experiment a bit with stress.|0
einblenden|Blende die Übersetzung kurz ein.|to fade in|Briefly fade in the translation.|0
ausblenden|Blende sie danach wieder aus.|to fade out|Fade it out afterwards.|0
umformulieren|Formuliere den Satz einfacher um.|to rephrase|Rephrase the sentence more simply.|0
ausreden (lassen)|Lass die Aufnahme ganz ausreden.|to let finish|Let the recording finish speaking.|0
aufdrehen (Laut)|Dreh die Lautstärke etwas auf.|to turn up|Turn the volume up a bit.|0
zudrehen|Dreh sie nach 21 Uhr herunter.|to turn down|Turn it down after 9 pm.|0
ausklingen|Lass die Sitzung ruhig ausklingen.|to wind down|Let the session wind down calmly.|0
verpassen (Zeitfenster)|Verpass dein Lernfenster heute nicht.|to miss|Don’t miss your study window today.|0
überziehen (Sitzung)|Zieh die Sitzung nicht zu lange.|to overrun|Don’t overrun the session.|0
einholen (Motivation)|Hol Motivation mit Lieblingsmusik ein.|to fetch|Fetch motivation with favorite music.|0
aufhorchen|Horche bei unbekannten Lauten auf.|to prick up ears|Prick up your ears at unknown sounds.|0
hineinfinden|Finde dich in den Rhythmus hinein.|to ease into|Ease into the rhythm.|0
aufsaugen|Sauge klare Beispiele wie ein Schwamm auf.|to soak up|Soak up clear examples like a sponge.|0
durchhalten|Halte noch zwei Minuten durch.|to persevere|Hold on for two more minutes.|0
erwischen (Fehler)|Erwisch einen häufigen Fehler rechtzeitig.|to catch|Catch a common mistake in time.|0
gönnen (Pause)|Gönn dir eine kurze Pause.|to grant|Treat yourself to a short break.|0
ablenken (bewusst)|Lenk dich kurz mit Trinken ab.|to divert|Divert yourself briefly by drinking.|0
wiederaufnehmen|Nimm die Übung danach wieder auf.|to resume|Resume the exercise afterwards.|0
unterkriegen (lassen)|Lass dich von Rückschritten nicht unterkriegen.|to get down|Don’t let setbacks get you down.|0
wegatmen|Atme Nervosität ruhig weg.|to breathe away|Breathe nervousness away calmly.|0
durchstarten (neu)|Starte nach der Pause neu durch.|to restart strongly|Start strong again after the break.|0
verschaffen (Überblick)|Verschaff dir erst einen Überblick.|to get|First get an overview.|0
vorausschauen|Schau kurz auf die nächsten Schritte.|to look ahead|Briefly look at the next steps.|0
einstecken (Kritik)|Steck freundliche Kritik gelassen ein.|to take|Take friendly criticism calmly.|0
ausstatten (Platz)|Statte deinen Lernplatz schlicht aus.|to equip|Equip your study space simply.|0
zusammenrücken (Ziele)|Rück Ziele und Alltag näher zusammen.|to draw together|Bring goals and daily life closer.|0
ausbalancieren|Balanciere Anspruch und Ruhe aus.|to balance|Balance demand and calm.|0
abfedern|Federe Fehler mit Humor ab.|to cushion|Cushion mistakes with humor.|0
bewahren (Gelassenheit)|Bewahre Gelassenheit beim Üben.|to preserve|Keep calm while practicing.|0
durchspielen|Spiel den Dialog leise durch.|to run through|Run through the dialogue softly.|0
miteinbeziehen|Bezieh Alltagssätze in die Übung ein.|to include|Include everyday sentences in practice.|0
aufspalten|Spalte lange Sätze in Teile auf.|to split|Split long sentences into parts.|0
abgleichen (Klang)|Gleiche deinen Klang mit dem Vorbild ab.|to match|Match your sound with the model.|0
einjustieren|Justiere Mundform ganz leicht ein.|to fine-tune|Fine-tune mouth shape slightly.|0
nachkalibrieren|Kalibriere Tempo nach jeder Runde nach.|to recalibrate|Recalibrate speed after each round.|0
auftanken|Tanke Energie mit Wasser auf.|to refuel|Refuel with water.|0
abbauen (Hemmung)|Bau Sprechhemmungen langsam ab.|to reduce|Slowly reduce speaking inhibitions.|0
zusammenfassen|Fass die Regel in einem Satz zusammen.|to summarize|Summarize the rule in one sentence.|0
abwägen|Wäge Aufwand und Nutzen kurz ab.|to weigh|Briefly weigh effort and benefit.|0
anbahnen|Bahne die nächste Übung sanft an.|to initiate|Gently initiate the next exercise.|0
aushalten|Halte kleine Pausen in der Stille aus.|to endure|Endure small pauses in silence.|0
hinbekommen|Du bekommst den Satz bald hin.|to manage|You’ll manage the sentence soon.|0
weiterreichen (Tipp)|Reich den Tipp an Lernfreunde weiter.|to pass along|Pass the tip along to study friends.|0
ausprobieren (Stimme)|Probier heute eine tiefere Stimme aus.|to try out|Try a deeper voice today.|0
hinzunehmen|Nimm kleine Fehler gelassen hinzu.|to accept|Accept small mistakes calmly.|0
aufbewahren|Bewahre gute Beispiele gesammelt auf.|to store|Store good examples together.|0
beiseitelegen|Leg alte Zettel beiseite.|to put aside|Put old notes aside.|0
ausrichten (Ohren)|Richte deine Ohren auf Endungen aus.|to aim|Aim your ears at endings.|0
mitführen|Führe Kopfhörer im Rucksack mit.|to carry|Carry headphones in your backpack.|0
verschieben (Schwerpunkt)|Verschieb heute den Schwerpunkt aufs Hören.|to shift|Shift today’s focus to listening.|0
ausdehnen (Hören)|Dehne das Hören auf zehn Minuten aus.|to extend|Extend listening to ten minutes.|0
verkürzen (Sprechen)|Kürze das Sprechen auf fünf Minuten.|to shorten|Shorten speaking to five minutes.|0
verstärken (Rhythmus)|Verstärke den Rhythmus beim Nachsprechen.|to intensify|Intensify rhythm when repeating.|0
entschärfen (Fehler)|Entschärfe Fehler durch langsames Tempo.|to defuse|Defuse errors with a slow pace.|0
ablenken (Blick)|Lenk den Blick auf die Satzmitte.|to direct|Direct your gaze to the middle of the sentence.|0
weiterüben|Übe auch nach dem Erfolg weiter.|to keep practicing|Keep practicing after success, too.|0
durchatmen (tief)|Atme tief ein, bevor du sprichst.|to take a deep breath|Take a deep breath before you speak.|0
hineinhören|Hör in leise Endungen genau hinein.|to listen into|Listen closely into quiet endings.|0
auftreten (Fehler)|Fehler treten am Anfang häufiger auf.|to occur|Mistakes occur more often at first.|0
vergehen (Zeit)|Die Zeit vergeht beim Üben schneller.|to pass|Time passes faster while practicing.|0
entscheiden (jetzt)|Entscheide dich heute für Einfachheit.|to decide|Decide for simplicity today.|0
abgeben (Druck)|Gib inneren Druck freundlich ab.|to let go|Let go of inner pressure kindly.|0
annehmen (Tempo)|Nimm ein gemütliches Tempo an.|to adopt|Adopt a comfortable pace.|0
unterbringen (Übung)|Bring eine Mini-Übung in die Pause unter.|to fit in|Fit a mini exercise into the break.|0
aufkommen (Mut)|Mit jeder Wiederholung kommt Mut auf.|to arise|With each repetition, courage arises.|0
erklingen|Deine Stimme erklingt klarer als gestern.|to sound|Your voice sounds clearer than yesterday.|0
aufgreifen (Fehler)|Greif den Fehler bewusst morgen auf.|to pick up|Pick up the mistake consciously tomorrow.|0
wegfallen (Druck)|Mit Routine fällt Druck langsam weg.|to fall away|With routine, pressure slowly falls away.|0
mitnehmen (Erkenntnis)|Nimm eine Erkenntnis aus der Runde mit.|to take away|Take one insight from the round.|0
hinüberretten|Rette das gute Gefühl in morgen hinüber.|to carry over|Carry the good feeling over to tomorrow.|0
zurückschauen|Schau kurz stolz zurück.|to look back|Look back proudly for a moment.|0
vorausschauend planen|Plane die nächste Einheit vorausschauend.|to plan ahead|Plan the next unit ahead.|0
einschätzen (Niveau)|Schätze dein Niveau realistisch ein.|to assess|Assess your level realistically.|0
aufrechterhalten (Interesse)|Halte das Interesse mit Abwechslung aufrecht.|to maintain|Maintain interest with variety.|0
ausweiten (Vokabular)|Weite dein Vokabular behutsam aus.|to expand|Expand your vocabulary gently.|0
durchsetzen (Grenze)|Setze eine klare Lern-Grenze durch.|to enforce|Enforce a clear study boundary.|0
einspielen (Routine)|Spiel die Routine täglich ein.|to establish|Establish the routine daily.|0
überprüfen (Plan)|Prüfe den Plan jeden Sonntag.|to review|Review the plan every Sunday.|0
mitzählen|Zähle die Wiederholungen leise mit.|to count along|Count the repetitions quietly.|0
abfallen (Energie)|Wenn die Energie abfällt, atme ruhig.|to drop|When energy drops, breathe calmly.|0
ansteigen (Sicherheit)|Mit Übung steigt die Sicherheit.|to rise|With practice, confidence rises.|0
verfliegen (Zweifel)|Zweifel verfliegen mit jeder Runde.|to vanish|Doubts vanish with each round.|0
herausragen (Erfolg)|Ein kleiner Erfolg ragt heute heraus.|to stand out|A small success stands out today.|0
umsetzen (Hinweis)|Setze einen Hinweis sofort um.|to implement|Implement one tip immediately.|0
abbuchen (Zeit)|Buche die Lernzeit als Investition ab.|to book|Book study time as an investment.|0
hineinwachsen|Wach langsam in längere Sätze hinein.|to grow into|Grow slowly into longer sentences.|0
ausgleichen (Tag)|Gleiche einen schwachen Tag gelassen aus.|to offset|Offset a weak day calmly.|0
ausrüsten (Mindset)|Rüste dich mit Geduld aus.|to equip|Equip yourself with patience.|0
weiterreichen (Motivation)|Reiche Motivation an morgen weiter.|to pass forward|Pass motivation on to tomorrow.|0
erkennen (Muster)|Erkenne heute ein neues Muster.|to recognize|Recognize a new pattern today.|0
freilegen|Leg die Satzstruktur sauber frei.|to expose|Expose the sentence structure cleanly.|0
anfühlen|Der Rhythmus fühlt sich jetzt rund an.|to feel|The rhythm feels rounded now.|0
zusammentragen|Trage deine besten Beispiele zusammen.|to gather|Gather your best examples.|0
verwerfen (Ballast)|Wirf begrifflichen Ballast freundlich ab.|to discard|Kindly discard conceptual ballast.|0
aufrechterhalten (Tempo)|Halte dein Tempo über drei Tage.|to maintain|Maintain your pace over three days.|0
verankern (Gewohnheit)|Verankere die Gewohnheit mit Ritual.|to anchor|Anchor the habit with ritual.|0
ausbauen (Stärke)|Bau deine Stärke systematisch aus.|to build out|Systematically build out your strength.|0
vorzeichnen|Zeichne dir den Plan für morgen vor.|to sketch out|Sketch out the plan for tomorrow.|0
glattziehen|Zieh kleine Unklarheiten heute glatt.|to smooth out|Smooth out small uncertainties today.|0
überspielen|Überspiel eine Panne mit Humor.|to play over|Play over a mishap with humor.|0
hineinschauen|Schau kurz in alte Notizen hinein.|to look into|Look into old notes briefly.|0
danebenliegen|Ich lag gestern mit der Betonung daneben.|to be off|I was off with the stress yesterday.|0
beilegen|Leg dem Problem Ruhe bei.|to settle|Settle the problem with calm.|0
